company_name,api_path,web_path,went_public_on,went_public_on_trust_code,stock_exchange_symbol,stock_symbol,shares_sold,opening_share_price,opening_share_price_currency_code,opening_share_price_usd,opening_valuation,opening_valuation_currency_code,opening_valuation_usd,money_raised,money_raised_currency_code,money_raised_usd,created_at,updated_at
hubspot,**ipos/73a33b3b7139c78c75de553d3b1ded8f,**ipo/73a33b3b7139c78c75de553d3b1ded8f,**2014-10-10,**7,**NYSE,**HUBS,**5000000,**25,**USD,**25,**759000000,**USD,**759000000,**125000000,**USD,**125000000,**1412822526,**1444119938
wix,**ipos/86f53d6bc47d7ec96704189554c2cc4e,**ipo/86f53d6bc47d7ec96704189554c2cc4e,**2013-11-06,**7,**NASDAQ,**WIX,**8000000,**17,**USD,**17,**603917556,**USD,**603917556,**127050000,**USD,**127050000,**1400847550,**1450934463
zendesk,**ipos/2c81d87a837767c3aa9659b82da2dcdb,**ipo/2c81d87a837767c3aa9659b82da2dcdb,**2014-05-16,**7,**NYSE,**ZEN,**11000,**9,**USD,**9,**632000000,**USD,**632000000,**100000000,**USD,**100000000,**1400541465,**1444122738
atlassian,**ipos/7e95bebbad61d41295131e8e4439fb2d,**ipo/7e95bebbad61d41295131e8e4439fb2d,**2015-12-10,**7,**NASDAQ,**TEAM,**,**21,**USD,**21,**4400000000,**USD,**4400000000,**462000000,**USD,**462000000,**1449722971,**1449766591
box,**ipos/ec9f9d4c9846b70d6ed7d4b6dc07053b,**ipo/ec9f9d4c9846b70d6ed7d4b6dc07053b,**2015-01-23,**7,**NYSE,**BOX,**,**14,**USD,**14,**1670000000,**USD,**1670000000,**175000000,**USD,**175000000,**1421983818,**1444194211
square,**ipos/ed73b02917af52c8d9e6bc0d130a0fcc,**ipo/ed73b02917af52c8d9e6bc0d130a0fcc,**2015-11-19,**7,**NYSE,**SQ,**,**9,**USD,**9,**2900000000,**USD,**2900000000,**243000000,**USD,**243000000,**1447990474,**1447990603
mixi,**ipos/609563a1b7c9e8e48b4e732a47cd25dd,**ipo/609563a1b7c9e8e48b4e732a47cd25dd,**2006-09-14,**7,**TYO,**2121,**,**,**USD,**,**970,**USD,**970,**,**USD,**,**1215452157,**1437091349
solarcity,**ipos/c4ee9fae40a3bf7b7df041c77ae15bb2,**ipo/c4ee9fae40a3bf7b7df041c77ae15bb2,**2012-12-13,**7,**NASDAQ,**SCTY,**11500000,**8,**USD,**8,**584635992,**USD,**584635992,**92000000,**USD,**92000000,**1402050011,**1444123492
zulily,**ipos/6ac3dbe4c928ed6ccb5ef934d8d77896,**ipo/6ac3dbe4c928ed6ccb5ef934d8d77896,**2013-11-15,**7,**NASDAQ,**ZU,**11,**22,**USD,**22,**2700000000,**USD,**2700000000,**253000000,**USD,**253000000,**1402289436,**1444118404
criteo,**ipos/f3f4523a369efb26998e76208e98a789,**ipo/f3f4523a369efb26998e76208e98a789,**2013-10-30,**7,**NASDAQ,**CRTO,**8082580,**31,**USD,**31,**1700000000,**USD,**1700000000,**250559980,**USD,**250559980,**1400754884,**1450898742
